NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HIP   1777,00 22 34.1731166157,-61 02 05.397976542,71.785,5.817,7.32,7.29,7.252,7.318,7.244
HIP  26523,05 38 26.4811583965,-61 10 01.204243182,-3.746,31.661,8.04,8.07,8.116,8.181,8.137
HD 126118,14 25 50.7816304966,-61 11 36.276244211,-5.332,-1.201,10.59,10.54,10.214,10.2,10.159
HD  25986,04 03 16.2207229563,-61 15 09.537302960,6.433,5.327,9.29,9.28,9.17,9.156,9.126
HD 150009,16 42 03.8581132456,-61 19 18.333860806,-7.847,-21.714,9.54,9.51,9.298,9.333,9.295
HD  42837,06 08 53.2297246241,-61 19 59.291091868,-8.743,13.503,9.4,9.37,9.395,9.397,9.374
HD  86999,10 00 00.6964595335,-61 22 16.887793584,-7.726,4.831,10.05,10.01,9.829,9.811,9.863
HIP  57316,11 45 05.6821196326,-61 31 02.286156401,-10.413,1.344,9.16,9.15,8.863,8.833,8.836
HD 146095,16 18 01.8061985306,-61 32 50.925894150,0.844,-9.347,10.42,10.35,10.045,10.016,9.989
HIP 118105,23 57 27.4587896259,-61 45 42.737204618,20.046,10.232,8.2,8.19,8.212,8.256,8.241
HD  70416,08 18 27.9667212845,-61 50 43.936783464,-4.952,5.208,9.56,9.49,9.311,9.3,9.26
HIP 100128,20 18 43.6375806204,-61 54 24.176685778,13.402,-44.68,6.6,6.6,6.529,6.569,6.491
HIP  79411,16 12 22.1861552930,-61 55 44.506788979,-27.293,-36.586,7.03,7.03,6.957,6.996,6.983
HD  80458,09 17 00.5342478769,-62 19 22.917337978,-12.629,5.115,9.27,9.23,8.98,9.003,8.985
HD  85956,09 53 03.2208619320,-62 20 06.915239421,-25.339,20.72,8.14,8.07,7.827,7.834,7.799
HD 157082,17 25 17.0094591388,-62 20 52.147230851,-0.419,-8.947,9.8,9.76,9.606,9.61,9.581
HIP  20784,04 27 06.4467048571,-62 47 58.633739919,-6.466,15.475,6.864,6.874,6.882,6.867,6.872
HD 167239,18 18 31.4655753242,-62 51 16.981543695,-0.73,-12.195,9.09,9.06,8.978,9.025,8.997
HD 103653,11 56 04.0032014443,-62 56 05.514494440,-8.447,0.674,10.15,10.1,9.741,9.774,9.749
HD 144676,16 10 50.7967512512,-62 56 35.994946348,-2.106,-12.497,9.49,9.47,9.303,9.342,9.265
HD 164839,18 07 23.4674276528,-63 09 18.885113560,0.109,-11.728,8.66,8.59,8.418,8.355,8.387
HD 118172,13 36 49.8257271978,-63 12 14.860887218,-8.16,-7.513,8.87,8.81,8.447,8.432,8.409
HIP  37050,07 36 49.7097781936,-63 18 01.536461753,-7.59,13.22,8.28,8.27,8.212,8.232,8.222
HD 147831,16 28 09.0000114005,-63 21 59.958946857,-0.751,-8.065,10.08,10.12,9.923,9.927,9.939
HD  55328,07 08 11.0575619545,-63 28 40.878661977,-1.962,9.223,9.66,9.6,9.537,9.512,9.484
HD  57468,07 17 06.3227323707,-63 28 44.383670628,-3.529,10.286,8.22,8.2,8.159,8.184,8.176
HD 145868,16 17 07.4441385352,-63 36 38.665945688,0.231,-8,9.61,9.55,9.347,9.305,9.316
HD 104233,12 00 06.8843387969,-63 49 08.359789346,-10.923,2.425,9.36,9.29,8.977,8.997,8.928
HIP  82270,16 48 36.1973786033,-63 50 57.922817964,-2.622,-20.446,8.73,8.66,8.379,8.4,8.332
HD   1881,00 22 38.8865821329,-64 02 55.378289640,7.998,3.16,10.9,10.89,10.731,10.773,10.737
HD 202029,21 16 24.8701636219,-64 04 14.230684987,-12.496,-3.172,9.12,9.07,8.944,8.946,8.945
HD  63582,07 45 27.5846113942,-64 11 39.233495572,-7.754,14.627,7.68,7.68,7.64,7.679,7.666
HD 144597,16 10 43.9097970091,-64 15 08.809330304,0.845,-2.659,8.5,8.48,8.356,8.389,8.347
HIP  42610,08 41 03.5285679214,-64 20 05.348572428,-30.799,18.609,7.77,7.73,7.631,7.666,7.608
HIP  60851,12 28 19.2607760520,-64 20 27.574132199,-37.308,-10.354,6.14,6.09,5.974,6.003,5.96
HIP  51131,10 26 44.4233901897,-64 21 06.126522291,-15.757,11.766,7.43,7.41,7.392,7.413,7.424
HIP  90090,18 23 04.7220864656,-64 22 41.374874211,8.627,0.619,8.41,8.39,8.307,8.287,8.29
HIP  63839,13 05 02.0406989979,-64 26 29.698827538,-36.629,-16.73,6.632,6.628,6.608,6.647,6.64
