,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,SP_TYPE,SP_QUAL,SP_BIBCODE,OTYPE_S,OTYPES,PLX_VALUE,PLX_PREC,PLX_ERROR,PLX_QUAL,PLX_BIBCODE,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,25s,1.5m,B-V,J-K,Mv,CRITERIA,MASK_E(B-V),MASK_E(J-K),MASK_SP_TYPE,MASK_OTYPE,MASK_25s,MASK_Mv,MASK_1.5m,MASK_N,MASK_Good
HD125138,HD 125138,14 21 52.5088,-74 13 48.479,14,14,0.1028,0.0939,90,A,O,2018yCat.1345....0G,,9.6,9.49,,,9.187999999999999,9.112,9.081,A0V,C,1975MSS...C01....0H,Star,*|IR,1.7114,4,0.1192,A,2018yCat.1345....0G,-11.945,-6.247999999999999,3,3,0.18600000000000003,0.198,90,A,2018yCat.1345....0G,1.0,1.0,0.10999999999999943,0.10699999999999932,0.2552576382663741,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD131709,HD 131709,15 00 30.3957,-74 14 38.474,14,14,0.054000000000000006,0.0537,90,A,O,2018yCat.1345....0G,,8.23,8.17,,,7.952000000000001,7.9,7.89,A0V,C,1975MSS...C01....0H,Star,*|IR,5.1285,4,0.0631,A,2018yCat.1345....0G,-17.272000000000002,-12.960999999999999,3,3,0.094,0.105,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.062000000000001165,1.500951799261377,E(J-K)>0.05;Mv=1.500951799261377;,0,1,0,0,0,1,0,2,False
HD165457,HD 165457,18 13 56.8103,-74 18 37.362,9,9,6.16,4.75,90,A,O,2007A&A...474..653V,,8.38,8.33,,,8.09,8.142999999999999,8.089,A0V,C,1975MSS...C01....0H,Star,*|IR,1.69,2,0.81,A,2007A&A...474..653V,10.46,2.87,2,2,0.54,0.7,0,A,2007A&A...474..653V,2.0,1.0,0.05000000000000071,0.0009999999999994458,-0.7130664769316348,1 close objects;Mv=-0.7130664769316348;,0,0,0,0,1,1,0,2,False
HD97536,HD  97536,11 11 43.5768,-74 24 39.451,14,14,0.0242,0.0254,90,A,O,2018yCat.1345....0G,,9.68,9.52,,,9.049,9.01,8.948,A0V,C,1975MSS...C01....0H,Star,*|IR,2.585,4,0.0281,A,2018yCat.1345....0G,-16.798,-0.253,3,3,0.048,0.046,90,A,2018yCat.1345....0G,1.0,1.0,0.16000000000000014,0.10099999999999909,0.9983027371498059,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD101639,HD 101639,11 40 55.3909,-75 02 13.571,14,14,0.0286,0.0223,90,A,O,2018yCat.1345....0G,,9.82,9.54,,,8.812000000000001,8.705,8.68,A0V,C,1975MSS...C01....0H,Star,*|IR,2.4396,4,0.0286,A,2018yCat.1345....0G,-11.9,-4.194,3,3,0.053,0.04,90,A,2018yCat.1345....0G,1.0,1.0,0.28000000000000114,0.13200000000000145,0.4545931234283117,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD135942,HD 135942,15 24 03.8238,-75 03 50.713,14,14,0.028999999999999998,0.0321,90,A,O,2018yCat.1345....0G,,9.5,9.3,,,9.123,9.117,9.087,A0V,C,1975MSS...C01....0H,Star,*|IR,2.2084,4,0.0384,A,2018yCat.1345....0G,-8.759,-8.706,3,3,0.051,0.061,90,A,2018yCat.1345....0G,1.0,2.0,0.1999999999999993,0.03599999999999959,0.29038869234050807,E(B-V)>0.1;1 close objects;,1,0,0,0,0,0,1,2,False
HD109050,HD 109050,12 32 46.3587,-75 11 18.643,14,14,0.0279,0.0271,90,A,O,2018yCat.1345....0G,,10.35,10.11,,,9.717,9.673,9.63,A0V,C,1975MSS...C01....0H,Star,*|IR,2.102,4,0.0293,A,2018yCat.1345....0G,12.030999999999999,7.627999999999999,3,3,0.054000000000000006,0.048,90,A,2018yCat.1345....0G,1.0,1.0,0.2400000000000002,0.08699999999999974,0.8471635584611161,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD118594,HD 118594,13 41 10.7183,-75 18 01.944,14,14,0.0319,0.0305,90,A,O,2018yCat.1345....0G,,10.13,9.97,,,9.592,9.498,9.45,A0V,C,1975MSS...C01....0H,Star,*|IR,2.5959,4,0.0376,A,2018yCat.1345....0G,-10.595999999999998,-7.751,3,3,0.06,0.063,90,A,2018yCat.1345....0G,1.0,1.0,0.16000000000000014,0.14200000000000124,1.4574397921734752,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD114281,HD 114281,13 12 02.7958,-75 23 31.090,14,14,0.0311,0.0326,90,A,O,2018yCat.1345....0G,,9.97,9.78,,,9.437000000000001,9.422,9.344,A0V,C,1975MSS...C01....0H,Star,*|IR,2.2147,4,0.0346,A,2018yCat.1345....0G,-17.7,-2.104,3,3,0.057,0.064,90,A,2018yCat.1345....0G,1.0,1.0,0.19000000000000128,0.09300000000000175,0.8130745282615637,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD141203,HD 141203,15 55 00.6783,-75 29 08.288,14,14,0.0943,0.1049,90,A,O,2018yCat.1345....0G,,8.49,8.26,,,7.794,7.737,7.647,A0V,C,1975MSS...C01....0H,PM*,*|PM*|IR,4.8603,4,0.1143,A,2018yCat.1345....0G,13.630999999999998,52.287,3,3,0.184,0.22,90,A,2018yCat.1345....0G,1.0,1.0,0.23000000000000043,0.14699999999999935,0.8538153836813129,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
